audio_file,video_file,caption,gram_volume,cosine_loss_sum,cosine_loss_lv,cosine_loss_la,cosine_loss_va
file_0O2aH4XLbto_6.wav,file_0O2aH4XLbto_6.mp4,"playing synthesizer",0.875755,2.135583,0.585702,0.747846,0.802036
file_0igJQMIXtMw_30.wav,file_0igJQMIXtMw_30.mp4,"male speech, man speaking",0.965301,2.549910,0.886347,0.879698,0.783865
file_0vXqf9ix8LE_30.wav,file_0vXqf9ix8LE_30.mp4,"cricket chirping",0.884805,2.152844,0.608965,0.754311,0.789569
file_0IpYF91Fdt0_80.wav,file_0IpYF91Fdt0_80.mp4,"train horning",0.914084,2.263144,0.738372,0.691654,0.833119
file_-7uB0O_imb4_30.wav,file_-7uB0O_imb4_30.mp4,"horse clip-clop",0.892178,2.169522,0.654213,0.704501,0.810808
file_-8OE7Vydkl4_221.wav,file_-8OE7Vydkl4_221.mp4,"bowling impact",0.872207,2.298613,0.561312,0.770995,0.966306
file_0o8e5SzQgaw_391.wav,file_0o8e5SzQgaw_391.mp4,"rope skipping",0.924012,2.329936,0.717548,0.876061,0.736327
file_0HHcZtiemS8_40.wav,file_0HHcZtiemS8_40.mp4,"frog croaking",0.900317,2.319993,0.608234,0.793932,0.917828
file_0epTpOPShXY_39.wav,file_0epTpOPShXY_39.mp4,"child singing",0.908154,2.227372,0.672312,0.755167,0.799893
file_0OVX660vFtY_20.wav,file_0OVX660vFtY_20.mp4,"playing squash",0.841720,2.044519,0.523691,0.721306,0.799521
file_0J5LtHU3F9Q_10.wav,file_0J5LtHU3F9Q_10.mp4,"snake rattling",0.943473,2.466897,0.735295,0.793273,0.938329
file_0Veq3Kqvd54_150.wav,file_0Veq3Kqvd54_150.mp4,"playing clarinet",0.878753,2.125302,0.607019,0.726713,0.791569
file_0GE2Nm-TlU8_30.wav,file_0GE2Nm-TlU8_30.mp4,"motorboat, speedboat acceleration",0.918660,2.322031,0.708320,0.723063,0.890648
file_0pmU2uMqo54_89.wav,file_0pmU2uMqo54_89.mp4,"playing bass drum",0.832589,1.907308,0.587507,0.643787,0.676014
file_-9-BGrFFmgI_30.wav,file_-9-BGrFFmgI_30.mp4,"sailing",0.872348,2.107980,0.606260,0.694944,0.806776
file_-1VcGT09lUI_208.wav,file_-1VcGT09lUI_208.mp4,"forging swords",0.959462,2.520664,0.760828,0.869125,0.890711
file_0LcEgY3DouU_140.wav,file_0LcEgY3DouU_140.mp4,"chicken clucking",0.869250,2.063097,0.611361,0.702794,0.748942
file_0-diKbePjAg_7.wav,file_0-diKbePjAg_7.mp4,"playing bassoon",0.927351,2.323452,0.719214,0.758587,0.845650
file_0uTUjOumS8A_30.wav,file_0uTUjOumS8A_30.mp4,"female singing",0.914893,2.344165,0.676082,0.745397,0.922686
file_0M9NVhkm_DY_445.wav,file_0M9NVhkm_DY_445.mp4,"dinosaurs bellowing",0.864962,2.135564,0.588760,0.684595,0.862209
file_0vQuT1uJbE4_10.wav,file_0vQuT1uJbE4_10.mp4,"cattle, bovinae cowbell",0.869084,2.063020,0.669662,0.628558,0.764800
file_0s0FLwW_Zsk_0.wav,file_0s0FLwW_Zsk_0.mp4,"chainsawing trees",0.816112,1.859543,0.556688,0.624088,0.678767
file_0VR9AllnQ0c_16.wav,file_0VR9AllnQ0c_16.mp4,"playing flute",0.840043,1.947001,0.575764,0.671862,0.699376
file_0mWVufJIAdQ_30.wav,file_0mWVufJIAdQ_30.mp4,"male singing",0.882013,2.101414,0.641659,0.731201,0.728553
file_-2toZf00LvI_12.wav,file_-2toZf00LvI_12.mp4,"bowling impact",0.930806,2.360607,0.693191,0.812907,0.854510
file_0eocQuIVq4s_14.wav,file_0eocQuIVq4s_14.mp4,"door slamming",0.919787,2.388864,0.831670,0.641183,0.916011
file_0WkfP8GAR4M_142.wav,file_0WkfP8GAR4M_142.mp4,"yodelling",0.951916,2.439593,0.839595,0.820319,0.779680
file_-1LGZONdjkY_64.wav,file_-1LGZONdjkY_64.mp4,"playing trumpet",0.893681,2.312761,0.574084,0.858628,0.880049
file_0FtIepwRoH4_25.wav,file_0FtIepwRoH4_25.mp4,"tractor digging",0.870600,2.123498,0.603526,0.685900,0.834072
file_-eeHCs9RqiU_25.wav,file_-eeHCs9RqiU_25.mp4,"sharpen knife",0.823399,1.975148,0.498262,0.712007,0.764879
file_-cGxEhd3A-Y_42.wav,file_-cGxEhd3A-Y_42.mp4,"people eating apple",0.937508,2.626592,0.661854,0.933759,1.030979
file_-7884X3Z6b4_30.wav,file_-7884X3Z6b4_30.mp4,"male speech, man speaking",0.967363,2.612976,0.802622,0.837968,0.972386
file_0eTrzI5-ong_30.wav,file_0eTrzI5-ong_30.mp4,"playing zither",0.899458,2.442042,0.570739,0.961990,0.909313
file_0nhIGRSsfUU_10.wav,file_0nhIGRSsfUU_10.mp4,"train wheels squealing",0.985613,2.765966,0.950820,0.976272,0.838874
file_0rZyMfRdPww_180.wav,file_0rZyMfRdPww_180.mp4,"sliding door",0.914168,2.256628,0.708875,0.826131,0.721622
file_0sSOetHgO-k_20.wav,file_0sSOetHgO-k_20.mp4,"engine accelerating, revving, vroom",0.944514,2.521835,0.716113,0.829583,0.976138
file_0HaOUEGWOSw_30.wav,file_0HaOUEGWOSw_30.mp4,"people running",0.927497,2.404263,0.673905,0.807205,0.923153
file_0DJKwJKxXzs_76.wav,file_0DJKwJKxXzs_76.mp4,"running electric fan",0.973046,2.618718,0.910182,0.908683,0.799854
file_0OH28bnOdEE_58.wav,file_0OH28bnOdEE_58.mp4,"people gargling",0.913029,2.242548,0.716837,0.716262,0.809450
file_-3sX4pIZa8c_1.wav,file_-3sX4pIZa8c_1.mp4,"canary calling",0.908029,2.301719,0.714189,0.680411,0.907119
file_-au7F5reGTI_140.wav,file_-au7F5reGTI_140.mp4,"people humming",0.980971,2.719610,0.983713,0.828748,0.907149
file_-DvBRaivb3g_179.wav,file_-DvBRaivb3g_179.mp4,"striking pool",0.941633,2.387331,0.745890,0.838669,0.802772
file_0slZetCrlis_30.wav,file_0slZetCrlis_30.mp4,"printer printing",0.936905,2.390263,0.824191,0.706692,0.859379
file_0RN4IMxl7Ng_68.wav,file_0RN4IMxl7Ng_68.mp4,"barn swallow calling",0.903463,2.318758,0.628154,0.770336,0.920268
file_0PTg-TtxWzY_30.wav,file_0PTg-TtxWzY_30.mp4,"playing french horn",0.899541,2.174793,0.676194,0.768516,0.730083
file_-4lxNixEQ2A_3.wav,file_-4lxNixEQ2A_3.mp4,"penguins braying",0.920761,2.410036,0.648655,0.818987,0.942393
file_0lqIgwPfRas_51.wav,file_0lqIgwPfRas_51.mp4,"hail",0.922916,2.319880,0.704956,0.748817,0.866107
file_0Wb08qcuPCI_30.wav,file_0Wb08qcuPCI_30.mp4,"raining",0.939467,2.366580,0.818577,0.754813,0.793190
file_0wxS0zlMnag_160.wav,file_0wxS0zlMnag_160.mp4,"playing piano",0.924703,2.295878,0.713484,0.775680,0.806714
file_0RWFBYy2E2k_149.wav,file_0RWFBYy2E2k_149.mp4,"tap dancing",0.907529,2.306536,0.644187,0.761755,0.900594
file_0wqZM5o6Woc_14.wav,file_0wqZM5o6Woc_14.mp4,"snake hissing",0.848700,2.113859,0.535158,0.715133,0.863568
file_0PxytBLZkZA_400.wav,file_0PxytBLZkZA_400.mp4,"playing cello",0.835890,1.992019,0.543569,0.664816,0.783634
file_0VW4nelMODc_271.wav,file_0VW4nelMODc_271.mp4,"swimming",0.890212,2.242757,0.617372,0.732466,0.892920
file_--0PQM4-hqg_30.wav,file_--0PQM4-hqg_30.mp4,"waterfall burbling",0.918257,2.292806,0.772382,0.679052,0.841372
file_0RzliHHKoHQ_30.wav,file_0RzliHHKoHQ_30.mp4,"male speech, man speaking",0.987597,2.756706,0.918732,0.866360,0.971614
file_0Ns-U5aM4ZY_30.wav,file_0Ns-U5aM4ZY_30.mp4,"engine accelerating, revving, vroom",0.906093,2.212292,0.763510,0.670901,0.777882
file_0oXXoyIdiyA_0.wav,file_0oXXoyIdiyA_0.mp4,"playing ukulele",0.893072,2.147260,0.678758,0.698624,0.769878
file_-e21Kzh-dEU_91.wav,file_-e21Kzh-dEU_91.mp4,"playing trombone",0.857333,2.052584,0.563978,0.724571,0.764034
file_0_O9CSTsckA_30.wav,file_0_O9CSTsckA_30.mp4,"playing bass guitar",0.861565,2.091453,0.585299,0.681846,0.824308
file_0G2C2jrNbak_40.wav,file_0G2C2jrNbak_40.mp4,"playing banjo",0.908340,2.242829,0.657257,0.812127,0.773445
file_0JCDxeSNIhE_325.wav,file_0JCDxeSNIhE_325.mp4,"playing squash",0.852410,2.085354,0.544827,0.715579,0.824949
file_0ReRU3F4o4Q_1.wav,file_0ReRU3F4o4Q_1.mp4,"playing tabla",0.921140,2.290617,0.701728,0.829737,0.759152
file_-B8a7An5Rqs_30.wav,file_-B8a7An5Rqs_30.mp4,"male singing",0.935079,2.375190,0.743755,0.754391,0.877043
file_0f1FPzZw7lU_53.wav,file_0f1FPzZw7lU_53.mp4,"cutting hair with electric trimmers",0.840613,2.042542,0.539889,0.679905,0.822747
file_0HBJuYt2Eys_32.wav,file_0HBJuYt2Eys_32.mp4,"disc scratching",0.886591,2.179355,0.631442,0.703482,0.844431
file_0KHKXKb12ME_200.wav,file_0KHKXKb12ME_200.mp4,"sharpen knife",0.925124,2.473583,0.664137,0.819763,0.989683
file_-4YxFFstS9E_29.wav,file_-4YxFFstS9E_29.mp4,"missile launch",0.870248,2.222774,0.562828,0.748655,0.911291
file_0uzlwkI4Zv0_445.wav,file_0uzlwkI4Zv0_445.mp4,"arc welding",0.859616,2.165259,0.555708,0.718893,0.890658
file_0U0eNtkoeW4_30.wav,file_0U0eNtkoeW4_30.mp4,"child singing",0.866426,2.024025,0.666583,0.664636,0.692806
file_-agadk426xM_21.wav,file_-agadk426xM_21.mp4,"people battle cry",0.976363,2.810958,0.812099,0.930134,1.068725
file_-9ummbDsgFM_30.wav,file_-9ummbDsgFM_30.mp4,"chainsawing trees",0.827319,1.958199,0.514448,0.729957,0.713795
file_-aNuyRVE25c_88.wav,file_-aNuyRVE25c_88.mp4,"roller coaster running",0.799661,1.836920,0.512016,0.618544,0.706360
file_-8p7pwxhob8_0.wav,file_-8p7pwxhob8_0.mp4,"playing harmonica",0.872824,2.138792,0.574082,0.753442,0.811267
file_0eG0h--CsUk_14.wav,file_0eG0h--CsUk_14.mp4,"lions roaring",0.841161,1.992455,0.567257,0.649324,0.775874
