audio_file,video_file,caption,gram_volume,cosine_loss_sum,cosine_loss_lv,cosine_loss_la,cosine_loss_va
file_0O2aH4XLbto_6.wav,file_0O2aH4XLbto_6.mp4,"playing synthesizer",0.915712,2.253693,0.706286,0.806979,0.740428
file_0igJQMIXtMw_30.wav,file_0igJQMIXtMw_30.mp4,"male speech, man speaking",0.901333,2.309860,0.877613,0.833968,0.598279
file_0vXqf9ix8LE_30.wav,file_0vXqf9ix8LE_30.mp4,"cricket chirping",0.831779,2.093023,0.749947,0.854616,0.488460
file_0IpYF91Fdt0_80.wav,file_0IpYF91Fdt0_80.mp4,"train horning",0.901759,2.182296,0.751976,0.751483,0.678836
file_-7uB0O_imb4_30.wav,file_-7uB0O_imb4_30.mp4,"horse clip-clop",0.870441,2.115828,0.781586,0.760865,0.573376
file_-8OE7Vydkl4_221.wav,file_-8OE7Vydkl4_221.mp4,"bowling impact",0.919688,2.421648,0.670359,0.972171,0.779117
file_0o8e5SzQgaw_391.wav,file_0o8e5SzQgaw_391.mp4,"rope skipping",0.883389,2.144057,0.721037,0.803795,0.619225
file_0HHcZtiemS8_40.wav,file_0HHcZtiemS8_40.mp4,"frog croaking",0.806686,1.880813,0.712469,0.672727,0.495616
file_0epTpOPShXY_39.wav,file_0epTpOPShXY_39.mp4,"child singing",0.869520,2.222302,0.810897,0.874437,0.536969
file_0OVX660vFtY_20.wav,file_0OVX660vFtY_20.mp4,"playing squash",0.878103,2.120751,0.649440,0.810867,0.660444
file_0J5LtHU3F9Q_10.wav,file_0J5LtHU3F9Q_10.mp4,"snake rattling",0.908491,2.374248,0.829563,0.931914,0.612770
file_0Veq3Kqvd54_150.wav,file_0Veq3Kqvd54_150.mp4,"playing clarinet",0.825980,1.918775,0.721296,0.653996,0.543482
file_0GE2Nm-TlU8_30.wav,file_0GE2Nm-TlU8_30.mp4,"motorboat, speedboat acceleration",0.865787,2.084741,0.780995,0.725312,0.578434
file_0pmU2uMqo54_89.wav,file_0pmU2uMqo54_89.mp4,"playing bass drum",0.863461,2.083557,0.735850,0.779303,0.568404
file_-9-BGrFFmgI_30.wav,file_-9-BGrFFmgI_30.mp4,"sailing",0.882103,2.188493,0.690686,0.871137,0.626670
file_-1VcGT09lUI_208.wav,file_-1VcGT09lUI_208.mp4,"forging swords",0.833272,1.956923,0.690618,0.729001,0.537304
file_0LcEgY3DouU_140.wav,file_0LcEgY3DouU_140.mp4,"chicken clucking",0.825618,1.937559,0.685004,0.729064,0.523491
file_0-diKbePjAg_7.wav,file_0-diKbePjAg_7.mp4,"playing bassoon",0.967849,2.587322,0.857583,0.793412,0.936327
file_0uTUjOumS8A_30.wav,file_0uTUjOumS8A_30.mp4,"female singing",0.954628,2.462792,0.797046,0.797743,0.868003
